PASSAGEIROS PAGOS,PASSAGEIROS GRÁTIS,CARGA PAGA (KG),ASK,RPK,ATK,RTK,DISTÂNCIA VOADA (KM),DECOLAGENS,CORREIO KM,HORAS VOADAS
35.0,0.0,0.0,4455.0,3465.0,520.0,257.0,495.0,5.0,0.0,"2,334"
42.0,0.0,0.0,5805.0,5418.0,680.0,405.0,645.0,5.0,0.0,"2,933"
453.0,5.0,0.0,68724.0,37599.0,8372.0,2782.0,7636.0,92.0,0.0,"35,801"
44.0,0.0,0.0,5346.0,4356.0,624.0,322.0,594.0,6.0,0.0,"3,017"
28.0,0.0,0.0,1368.0,1064.0,156.0,77.0,152.0,4.0,0.0,"0,6"
26.0,0.0,0.0,4644.0,3354.0,544.0,250.0,516.0,4.0,0.0,"2,6"
38.0,0.0,0.0,1710.0,1444.0,195.0,105.0,190.0,5.0,0.0,"1,233"
689.0,0.0,0.0,68724.0,57187.0,8372.0,4256.0,7636.0,92.0,0.0,"42,222"
39.0,0.0,0.0,4455.0,3861.0,524.0,287.0,495.0,5.0,0.0,"2,384"
21.0,0.0,0.0,3483.0,2709.0,408.0,202.0,387.0,3.0,0.0,"1,733"
349.0,1.0,0.0,41832.0,28967.0,5096.0,2146.0,4648.0,56.0,0.0,"23,404"
34.0,0.0,0.0,3564.0,3366.0,416.0,249.0,396.0,4.0,0.0,"1,833"
29.0,0.0,0.0,1710.0,1102.0,195.0,80.0,190.0,5.0,0.0,"1,301"
28.0,0.0,0.0,5805.0,3612.0,680.0,269.0,645.0,5.0,0.0,"2,95"
32.0,0.0,0.0,1368.0,1216.0,156.0,88.0,152.0,4.0,0.0,"0,817"
407.0,1.0,0.0,41832.0,33781.0,5096.0,2511.0,4648.0,56.0,0.0,"23,418"
35.0,0.0,0.0,4455.0,3465.0,520.0,257.0,495.0,5.0,0.0,"2,3"
29.0,0.0,0.0,6966.0,3741.0,816.0,279.0,774.0,6.0,0.0,"3,567"
344.0,0.0,0.0,35856.0,28552.0,4368.0,2124.0,3984.0,48.0,0.0,"20,041"
48.0,0.0,0.0,6237.0,4752.0,728.0,351.0,693.0,7.0,0.0,"3,433"
20.0,0.0,0.0,1368.0,760.0,156.0,55.0,152.0,4.0,0.0,"0,834"
30.0,0.0,0.0,4644.0,3870.0,544.0,289.0,516.0,4.0,0.0,"2,234"
30.0,0.0,0.0,2052.0,1140.0,234.0,83.0,228.0,6.0,0.0,"1,018"
382.0,0.0,0.0,35856.0,31706.0,4368.0,2364.0,3984.0,48.0,0.0,"20,639"
17.0,0.0,0.0,3564.0,1683.0,416.0,124.0,396.0,4.0,0.0,"1,601"
23.0,0.0,0.0,4644.0,2967.0,544.0,222.0,516.0,4.0,0.0,"2,049"
260.0,1.0,0.0,32868.0,21580.0,4004.0,1598.0,3652.0,44.0,0.0,"15,728"
26.0,0.0,0.0,3564.0,2574.0,416.0,190.0,396.0,4.0,0.0,"1,501"
17.0,0.0,0.0,1368.0,646.0,156.0,46.0,152.0,4.0,0.0,"0,433"
16.0,0.0,0.0,4644.0,2064.0,544.0,153.0,516.0,4.0,0.0,"2,032"
18.0,0.0,0.0,1368.0,684.0,156.0,49.0,152.0,4.0,0.0,"0,499"
330.0,1.0,0.0,33615.0,27390.0,4095.0,2035.0,3735.0,45.0,0.0,"16,093"
7881.0,287.0,195325.0,74884100.0,64182900.0,14391200.0,7459820.0,252464.0,31.0,92654300.0,"310,402"
2106.0,0.0,139532.0,,,,,,,,
6178.0,321.0,133843.0,75696200.0,67879100.0,14582200.0,8442290.0,254014.0,31.0,93157600.0,"307,402"
2594.0,0.0,84096.0,,,,,,,,
5952.0,142.0,92589.0,15907800.0,14716200.0,3064470.0,1628700.0,53382.0,31.0,0.0,"80,632"
8558.0,220.0,226806.0,74884100.0,69696400.0,14391200.0,8119760.0,252464.0,31.0,0.0,"318,682"
6096.0,292.0,225747.0,75696200.0,71205900.0,14582200.0,8947360.0,254014.0,31.0,0.0,"318,118"
4824.0,134.0,48960.0,15907800.0,11933500.0,3064470.0,1398580.0,53382.0,31.0,0.0,"88,149"
6877.0,332.0,194451.0,63099700.0,56006300.0,12155600.0,6784250.0,211744.0,26.0,160087000.0,"255,101"
2566.0,3.0,70384.0,,,,,,,,
4955.0,276.0,126896.0,66256700.0,61627100.0,12555300.0,7210420.0,229432.0,28.0,47484200.0,"280,314"
2293.0,0.0,48659.0,,,,,,,,
3346.0,131.0,144317.0,12897800.0,9582930.0,2440830.0,1192160.0,44772.0,26.0,886830.0,"69,199"
158.0,12.0,256.0,511666.0,398344.0,98567.0,39758.0,1717.0,1.0,0.0,"3,167"
5774.0,276.0,338516.0,63099700.0,47023500.0,12155600.0,6988970.0,211744.0,26.0,0.0,"265,867"
